Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
28,A. grosmanniae,60,54.78,1.00,2.54
29,A. grosmanniae,40,35.32,0.69,1.75
29,A. grosmanniae,44,37.83,0.69,1.75
29,A. grosmanniae,48,42.72,0.69,1.75
29,A. grosmanniae,52,45.05,0.69,1.75
29,A. grosmanniae,56,53.82,0.69,1.75
29,A. grosmanniae,60,55.31,0.69,1.75
30,A. grosmanniae,40,35.03,0.94,2.39
30,A. grosmanniae,44,37.95,0.94,2.39
30,A. grosmanniae,48,42.59,0.94,2.39
30,A. grosmanniae,52,48.28,0.94,2.39
30,A. grosmanniae,56,52.75,0.94,2.39
30,A. grosmanniae,60,55.93,0.94,2.39
1,A. cleistominuta,40,36.01,1.06,2.70
1,A. cleistominuta,44,39.59,1.06,2.70
1,A. cleistominuta,48,43.46,1.06,2.70
1,A. cleistominuta,52,47.96,1.06,2.70
1,A. cleistominuta,56,51.42,1.06,2.70
1,A. cleistominuta,60,55.29,1.06,2.70
2,A. cleistominuta,40,35.16,0.81,2.06
2,A. cleistominuta,44,39.25,0.81,2.06
2,A. cleistominuta,48,43.26,0.81,2.06
2,A. cleistominuta,52,47.64,0.81,2.06
2,A. cleistominuta,56,51.06,0.81,2.06
2,A. cleistominuta,60,55.29,0.81,2.06
3,A. cleistominuta,40,36.09,0.88,2.22
3,A. cleistominuta,44,40.3,0.88,2.22
3,A. cleistominuta,48,44.2,0.88,2.22
3,A. cleistominuta,52,48.51,0.88,2.22
3,A. cleistominuta,56,52.06,0.88,2.22
3,A. cleistominuta,60,56.2,0.88,2.22
4,A. cleistominuta,40,35.22,1.06,2.70
4,A. cleistominuta,44,38.84,1.06,2.70
4,A. cleistominuta,48,42.7,1.06,2.70
4,A. cleistominuta,52,47.1,1.06,2.70
4,A. cleistominuta,56,50.55,1.06,2.70
4,A. cleistominuta,60,54.62,1.06,2.70
5,A. cleistominuta,40,36.48,0.94,2.38
5,A. cleistominuta,44,40.25,0.94,2.38
5,A. cleistominuta,48,44.77,0.94,2.38
5,A. cleistominuta,52,48.16,0.94,2.38
5,A. cleistominuta,56,52.4,0.94,2.38
5,A. cleistominuta,60,55.97,0.94,2.38
6,A. cleistominuta,40,37.22,0.81,2.06
6,A. cleistominuta,44,41.04,0.81,2.06
6,A. cleistominuta,48,45.52,0.81,2.06
6,A. cleistominuta,52,49.19,0.81,2.06
6,A. cleistominuta,56,53.08,0.81,2.06
6,A. cleistominuta,60,56.82,0.81,2.06
7,A. cleistominuta,40,35.5,0.88,2.22
7,A. cleistominuta,44,39.79,0.88,2.22
7,A. cleistominuta,48,43.68,0.88,2.22
7,A. cleistominuta,52,47.91,0.88,2.22
7,A. cleistominuta,56,51.5,0.88,2.22
7,A. cleistominuta,60,55.34,0.88,2.22
8,A. cleistominuta,40,36.58,0.75,1.91
8,A. cleistominuta,44,39.82,0.75,1.91
8,A. cleistominuta,48,44.46,0.75,1.91
8,A. cleistominuta,52,48.06,0.75,1.91
8,A. cleistominuta,56,52.8,0.75,1.91
8,A. cleistominuta,60,56.73,0.75,1.91
9,A. cleistominuta,40,36.86,1.00,2.54
9,A. cleistominuta,44,40.14,1.00,2.54
9,A. cleistominuta,48,43.43,1.00,2.54
9,A. cleistominuta,52,48.13,1.00,2.54
9,A. cleistominuta,56,51.84,1.00,2.54
9,A. cleistominuta,60,55.76,1.00,2.54
10,A. cleistominuta,40,35.85,0.88,2.24
10,A. cleistominuta,44,39.79,0.88,2.24
10,A. cleistominuta,48,44.12,0.88,2.24
10,A. cleistominuta,52,48.84,0.88,2.24
10,A. cleistominuta,56,52.34,0.88,2.24
10,A. cleistominuta,60,56.38,0.88,2.24
11,A. cleistominuta,40,35.51,1.13,2.87
11,A. cleistominuta,44,38.93,1.13,2.87
11,A. cleistominuta,48,45.14,1.13,2.87
11,A. cleistominuta,52,48.69,1.13,2.87
11,A. cleistominuta,56,51.64,1.13,2.87
11,A. cleistominuta,60,56.06,1.13,2.87
12,A. cleistominuta,40,37.1,1.06,2.69
12,A. cleistominuta,44,40.86,1.06,2.69
12,A. cleistominuta,48,43.1,1.06,2.69
12,A. cleistominuta,52,47.79,1.06,2.69
12,A. cleistominuta,56,51.59,1.06,2.69
