Species,Plate,Point ,Area,Temp
X. cleistominuta,15,12,Fungi,41.7
X. cleistominuta,15,13,Fungi,40.3
X. cleistominuta,15,14,Fungi,39.9
X. cleistominuta,15,15,Fungi,40.6
X. cleistominuta,16,1,Agar,42.6
X. cleistominuta,16,2,Agar,42.6
X. cleistominuta,16,3,Agar,42.5
X. cleistominuta,16,4,Agar,42.4
X. cleistominuta,16,5,Agar,42.5
X. cleistominuta,16,6,Agar,42.4
X. cleistominuta,16,7,Agar,42.1
X. cleistominuta,16,8,Agar,42.3
X. cleistominuta,16,9,Agar,42.8
X. cleistominuta,16,10,Agar,42.7
X. cleistominuta,16,11,Agar,42.8
X. cleistominuta,16,12,Agar,42.5
X. cleistominuta,16,13,Agar,42.4
X. cleistominuta,16,14,Agar,42.6
X. cleistominuta,16,15,Agar,42.7
X. cleistominuta,16,1,Fungi,41.9
X. cleistominuta,16,2,Fungi,42
X. cleistominuta,16,3,Fungi,42.6
X. cleistominuta,16,4,Fungi,41.9
X. cleistominuta,16,5,Fungi,41.3
X. cleistominuta,16,6,Fungi,42.1
X. cleistominuta,16,7,Fungi,41.9
X. cleistominuta,16,8,Fungi,41.3
X. cleistominuta,16,9,Fungi,41.7
X. cleistominuta,16,10,Fungi,41.9
X. cleistominuta,16,11,Fungi,41.6
X. cleistominuta,16,12,Fungi,41
X. cleistominuta,16,13,Fungi,41.8
X. cleistominuta,16,14,Fungi,40.6
X. cleistominuta,16,15,Fungi,40.8
X. cleistominuta,17,1,Agar,41.2
X. cleistominuta,17,2,Agar,41.3
X. cleistominuta,17,3,Agar,41.4
X. cleistominuta,17,4,Agar,41.5
X. cleistominuta,17,5,Agar,41.5
X. cleistominuta,17,6,Agar,41.3
X. cleistominuta,17,7,Agar,40.7
X. cleistominuta,17,8,Agar,41.1
X. cleistominuta,17,9,Agar,41.4
X. cleistominuta,17,10,Agar,41.6
X. cleistominuta,17,11,Agar,41.6
X. cleistominuta,17,12,Agar,41
X. cleistominuta,17,13,Agar,41.3
X. cleistominuta,17,14,Agar,41.4
X. cleistominuta,17,15,Agar,41.5
X. cleistominuta,17,1,Fungi,39.8
X. cleistominuta,17,2,Fungi,39.9
X. cleistominuta,17,3,Fungi,40.1
X. cleistominuta,17,4,Fungi,40.9
X. cleistominuta,17,5,Fungi,41
X. cleistominuta,17,6,Fungi,40.6
X. cleistominuta,17,7,Fungi,41.2
X. cleistominuta,17,8,Fungi,39.4
X. cleistominuta,17,9,Fungi,40.3
X. cleistominuta,17,10,Fungi,39.7
X. cleistominuta,17,11,Fungi,39.4
X. cleistominuta,17,12,Fungi,40.5
X. cleistominuta,17,13,Fungi,40.5
X. cleistominuta,17,14,Fungi,40.9
X. cleistominuta,17,15,Fungi,40.6
X. cleistominuta,18,1,Agar,41
X. cleistominuta,18,2,Agar,40.9
X. cleistominuta,18,3,Agar,41
X. cleistominuta,18,4,Agar,40.7
X. cleistominuta,18,5,Agar,40.8
X. cleistominuta,18,6,Agar,41.3
X. cleistominuta,18,7,Agar,41.1
X. cleistominuta,18,8,Agar,41.1
X. cleistominuta,18,9,Agar,41.1
X. cleistominuta,18,10,Agar,41.2
X. cleistominuta,18,11,Agar,41.8
X. cleistominuta,18,12,Agar,41.7
X. cleistominuta,18,13,Agar,41.4
X. cleistominuta,18,14,Agar,41.6
X. cleistominuta,18,15,Agar,41.4
X. cleistominuta,18,1,Fungi,39.9
X. cleistominuta,18,2,Fungi,40
X. cleistominuta,18,3,Fungi,40
X. cleistominuta,18,4,Fungi,40.7
X. cleistominuta,18,5,Fungi,40.5
X. cleistominuta,18,6,Fungi,41.1
X. cleistominuta,18,7,Fungi,40.7
X. cleistominuta,18,8,Fungi,40.2
X. cleistominuta,18,9,Fungi,40.1
